RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date
0,1914-154,,whole,1.0,Ordnance Survey,donated,TRAVERSE MARK BOLT AND COVER,A cylindrical hole 7/16ths in. diam. is drilled in the head of the bolt into which the 15-in. observing rod or the foot of the traverse pole can be fitted. The bolt is protected by an iron cap or hydrant cover according to the nature of the surface. An observing pin and small circular spirit level for setting it vertical are also shown.,,,,,,,,,,
1,1914-107,,whole,1.0,,donated,TRIANGULATION MARK,"This type of mark set either in rock or masonry is used for marking the first order triangulation stations in France. It consists of a small cylindrical bronze bolt with grooved sides and a cross engraved on its upper face, the intersection of the cross indicating the station point.",,,,,,,,,,
2,1914-108,,whole,1.0,,donated,NAME-PLATE FOR TRIANGULATION MARK,"Elliptical metal plate fixed in masonry at a first order triangulation station in France, and carries a number corresponding to the particular station point.",,,,,,,,,,
3,,Inv. 1920-81,whole,1.0,,donated,TRIANGULATION STATION MARK,This mark consists of a brass disc and shank cast in one piece. The shank is ribbed so as to grip securely the material—generally rock or concrete—in which the mark is set. One such mark is set at the surface and a similar one about 3 ft. directly underneath it at every triangulation station. The station point is defined by a small dot within a 20 mm. equilateral triangle engraved on the disc.,,,,,,,,,,
4,1920-82,,whole,1.0,,donated,MAGNETIC STATION MARK,"This mark is the older form of station mark used by the U.S. Coast and Geodetic Survey. Its shank is split so that a wedge can be inserted. When the mark is driven into the drill-hole, the wedge causes the shank to bulge and grip firmly the surrounding material. The station point is defined by a dot enclosed in two intersecting 20-mm. equilateral triangles engraved on the disc.",,,,,,,,,,
5,1920-78,Inv. 1920-78,whole,1.0,,donated,HYDROGRAPHIC STATION MARK,"This mark is the same as that used for triangulation station marks, except that the central hole or dot is here surrounded by a 2.5-cm. circle. The mark is set in a post or block of concrete, or wedged into a drill-hole in rock, after which a triangle or circle is chiselled round it. For underground station marks a similar disc is set 3 ft. below ground in a block of concrete, in rock or other suitable material.",,,,,,,,,,
6,1920-77,Inv. 1920-77,whole,1.0,,donated,REFERENCE MARK,"A metal disc and shank used to facilitate the recovery of station marks, especially where these are liable to damage or disturbance. The mark is placed so that the arrow engraved thereon points to the station mark, and the horizontal distance between the station mark and the groove cut across the shaft of the arrow is recorded. Reference marks are set in concrete posts or blocks, or in rock, at distances up to 20 yd. from the station marks.",,,,,,,,,,
7,1922-726,,whole,1.0,,donated,TRIANGULATION STATION MARK,"Stations of the Primary Triangulation of Canada are marked by means of circular metal bolts of the type exhibited, the bolts being embedded in concrete or leaded into rock. Both underground and surface marks are employed, and reference monuments provided to facilitate recovery of the station. The bolt consists of a 3-in. circular bronze disc, attached to a 3-in. cylindrical shank, which is corrugated and fox-wedged so that the shank expands tightly against the sides of the hole drilled to receive it when the bolt is driven in. The centre of the disc has a triangle engraved upon it, with a central hole punched to define the exact station point.",,,,,,,,,,
8,1922-724,,whole,1.0,,donated,REFERENCE MARK,A bronze bolt with an arrow engraved upon it to indicate the direction in which the station point lies. Used as a reference mark for primary triangulation stations where station marks are in danger of disturbance or difficult to find. Typically set in outstanding rocks or concrete monuments.,,,,,,,,,,
9,1922-725,,whole,1.0,,donated,REFERENCE MONUMENT PLATE,A rectangular plate with two projecting shanks for fixing it into a reference monument. Used by the Geodetic Survey of Canada to mark station points where no natural rock is available.,,,,,,,,,,
