RowIndex,Meteorology_Total,SMG_Total,Meteorology_ObjectNames,SMG_ObjectNames,Meteorology_Makers,SMG_Makers,Meteorology_organisations/institutions,SMG_organisations/institutions,Meteorology_Dates,SMG_Dates,Meteorology_Places,SMG_Places,Meteorology_Descriptions,SMG_Descriptions,Meteorology_Other,SMG_Other,Unique_to_Meteorology,Unique_to_SMG
0,10,8,1,1,1,1,1,1,1,1,0,1,5,2,1,1,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""A cylindrical hole 7/16ths in. diam. is drilled in the head of the bolt into which the 15-in. observing rod or the foot of the traverse pole can be fitted."", ""The bolt is protected by an iron cap or hydrant cover according to the nature of the surface."", ""An observing pin and small circular spirit level for setting it vertical are also shown.""], ""other"": [""Inv. 1914-154.""]}","{""object_names"": [], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [], ""places"": [""United Kingdom""], ""descriptions"": [""Surveying bench mark; bench mark""], ""other"": [""British"", ""unsigned""]}"
1,8,8,1,1,1,1,1,1,1,1,1,1,3,2,1,1,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""small cylindrical bronze bolt with grooved sides"", ""a cross engraved on its upper face, the intersection of the cross indicating the station point""], ""other"": [""Inv. 1914-107""]}","{""object_names"": [], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Surveying triangulation mark""], ""other"": []}"
2,8,10,1,1,0,1,1,1,1,1,1,2,3,2,1,2,"{""object_names"": [""NAME-PLATE FOR TRIANGULATION MARK""], ""makers"": [], ""organisations/institutions"": [""French Government""], ""dates"": [""1914-108""], ""places"": [""France""], ""descriptions"": [""This elliptical metal plate is fixed in masonry at a first order triangulation station"", ""carries a number corresponding to the particular station point""], ""other"": [""Inv. 1914-108""]}","{""object_names"": [""Triangulation mark"", ""station mark name plate""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [""First Order Nivellement General de la France""], ""dates"": [""1914""], ""places"": [""France""], ""descriptions"": [""Brass (?)"", ""Surveying triangulation mark""], ""other"": [""French"", ""unsigned""]}"
3,9,8,1,2,1,0,1,1,1,1,0,1,4,2,1,1,"{""object_names"": [""TRIANGULATION STATION MARK""], ""makers"": [""U.S. Coast and Geodetic Survey""], ""organisations/institutions"": [], ""dates"": [""1920""], ""places"": [], ""descriptions"": [""consists of a brass disc and shank cast in one piece"", ""shank is ribbed so as to grip securely the material\u2014generally rock or concrete\u2014in which the mark is set"", ""One such mark is set at the surface and a similar one about 3 ft. directly underneath it at every triangulation station"", ""station point is defined by a small dot within a 20 mm. equilateral triangle engraved on the disc""], ""other"": [""Inv. 1920-81""]}","{""object_names"": [""Triangulation Station Mark"", ""Surveying triangulation mark"", ""triangulation mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [""1915-1920"", ""1915-20""], ""places"": [""American""], ""descriptions"": [""Bronze triangulation station mark"", ""bronze""], ""other"": [""United States""]}"
4,8,7,1,2,1,1,1,1,1,1,0,1,3,1,1,0,"{""object_names"": [""MAGNETIC STATION MARK""], ""makers"": [""U.S. Coast and Geodetic Survey""], ""organisations/institutions"": [""U.S. Coast and Geodetic Survey""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""older form of station mark used by the U.S. Coast and Geodetic Survey"", ""Its shank is split so that a wedge can be inserted. When the mark is driven into the drill-hole, the wedge causes the shank to bulge and grip firmly the surrounding material."", ""The station point is defined by a dot enclosed in two intersecting 20-mm. equilateral triangles engraved on the disc.""], ""other"": [""Inv. 1920-82""]}","{""object_names"": [""Magnetic Station Mark"", ""Surveying station mark""], ""makers"": [""United States Coast and Geodetic Survey""], ""organisations/institutions"": [""United States Coast and Geodetic Survey""], ""dates"": [""1920""], ""places"": [""United States""], ""descriptions"": [""brass""], ""other"": []}"
5,8,7,1,1,1,0,1,1,1,1,0,1,4,2,1,1,"{""object_names"": [""HYDROGRAPHIC STATION MARK""], ""makers"": [""U.S. Coast and Geodetic Survey""], ""organisations/institutions"": [""U.S. Coast and Geodetic Survey""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""This mark is the same as that used for triangulation station marks, except that the central hole or dot is here surrounded by a 2.5-cm. circle."", ""The mark is set in a post or block of concrete, or wedged into a drill-hole in rock, after which a triangle or circle is chiselled round it."", ""For underground station marks a similar disc is set 3 ft. below ground in a block of concrete, in rock or other suitable material."", ""(See U.S. Coast and Geodetic Survey Special Publication No. 26, pp. 42\u201343.)""], ""other"": [""Inv. 1920-78""]}","{""object_names"": [""Hydrographic station mark""], ""makers"": [], ""organisations/institutions"": [""United States Coast and Geodetic Survey""], ""dates"": [""c. 1920""], ""places"": [""United States""], ""descriptions"": [""Surveying station mark; station mark"", ""brass""], ""other"": [""1920""]}"
6,11,7,1,2,1,1,1,1,1,1,0,0,6,2,1,0,"{""object_names"": [""REFERENCE MARK""], ""makers"": [""U.S. Coast and Geodetic Survey""], ""organisations/institutions"": [""U.S. Coast and Geodetic Survey""], ""dates"": [""1920-77""], ""places"": [], ""descriptions"": [""metal disc and shank"", ""used to facilitate the recovery of station marks"", ""especially where these are liable to damage or disturbance"", ""placed so that the arrow engraved thereon points to the station mark"", ""horizontal distance between the station mark and the groove cut across the shaft of the arrow is recorded"", ""set in concrete posts or blocks, or in rock, at distances up to 20 yd. from the station marks""], ""other"": [""See U.S. Coast and Geodetic Survey Special Publication No. 26, pp. 42\u201343""]}","{""object_names"": [""Standard Reference mark"", ""Surveying reference mark""], ""makers"": [""United States Coast and Geodetic Survey""], ""organisations/institutions"": [""United States Coast and Geodetic Survey""], ""dates"": [""c. 1920""], ""places"": [], ""descriptions"": [""brass"", ""reference mark""], ""other"": []}"
7,12,8,1,1,1,1,2,1,1,1,1,1,5,2,1,1,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Geodetic Survey of Canada""], ""dates"": [], ""places"": [""Canada""], ""descriptions"": [""Stations of the Primary Triangulation of Canada are marked by means of circular metal bolts of the type exhibited, the bolts being embedded in concrete or leaded into rock. Both underground and surface marks are employed, and reference monuments provided to facilitate recovery of the station. The bolt consists of a 3-in. circular bronze disc, attached to a 3-in. cylindrical shank, which is corrugated and fox-wedged so that the shank expands tightly against the sides of the hole drilled to receive it when the bolt is driven in. The centre of the disc has a triangle engraved upon it, with a central hole punched to define the exact station point.""], ""other"": [""Inv. 1922-726""]}","{""object_names"": [""Surveying triangulation mark"", ""triangulation mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [""1920""], ""places"": [""Canadian""], ""descriptions"": [""Surveying triangulation mark; triangulation mark""], ""other"": []}"
8,8,8,1,2,1,1,1,1,1,1,0,0,3,2,1,1,"{""object_names"": [""reference mark""], ""makers"": [""Geodetic Survey of Canada""], ""organisations/institutions"": [""Geodetic Survey of Canada""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""Where the station marks of the Primary Triangulation of Canada are in danger of disturbance, or are difficult to find, reference marks of the type shown are set in outstanding rocks or in concrete monuments."", ""Where possible, three such marks are set approximately 120\u00b0 apart around the station."", ""The mark is a similar bronze bolt to the station mark, but has an arrow engraved upon it to indicate the direction in which the station point lies.""], ""other"": [""Inv. 1922-724""]}","{""object_names"": [""triangulation reference mark"", ""triangulation mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [""Geodetic Survey of Canada""], ""dates"": [""1920""], ""places"": [], ""descriptions"": [""Canadian"", ""Surveying triangulation mark""], ""other"": [""unsigned""]}"
9,8,8,1,1,1,1,1,1,1,1,0,1,3,2,1,1,"{""object_names"": [""REFERENCE MONUMENT PLATE""], ""makers"": [""Geodetic Survey of Canada""], ""organisations/institutions"": [""Geodetic Survey of Canada""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""Where no natural rock is available, reference monuments are built by the Geodetic Survey of Canada to mark the station points."", ""Such monuments are erected in convenient places, preferably near a road, and a plate of the type shown is embedded into them."", ""The plate is rectangular and has two projecting shanks for fixing it into the monument.""], ""other"": [""Inv. 1922-725""]}","{""object_names"": [""Bronze triangulation station mark"", ""triangulation mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [""Geodetic Survey of Canada""], ""dates"": [""1920""], ""places"": [""Canada""], ""descriptions"": [""Surveying triangulation mark"", ""unsigned""], ""other"": [""Canadian""]}"
